1,baas, South African term for `boss',"In almost all cases, the form baa baa or baa baa is used.",hard
2,baal, any of numerous local fertility and nature deities worshipped by ancient Semitic peoples; the Hebrews considered Baal a false god,The people obliterate the temple of Baal.,hard
3,baba, a small cake leavened with yeast,Hi Baba and thanks for the note.,hard
4,babbitt, an alloy of tin with some copper and antimony; a lining for bearings that reduces friction,Babbitt is professionally successful as a realtor.,hard
5,babbled, gibberish resembling the sounds of a baby,The song is a pleasant babbling.,hard
6,babbling, gibberish resembling the sounds of a baby,The language that infants speak is called babbling.,hard
7,babble, gibberish resembling the sounds of a baby,The song is a pleasant babbling.,hard
8,babbler," an obnoxious and foolish and loquacious talker
","The Arrow marked Babbler is a medium sized babbler, in length and weighing.",hard
9,babe," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The babe in the manger was no Hebrew stranger.,easy
10,babel," a tower built by Noah's descendants (probably in Babylon) who intended it to reach up to heaven; God foiled them by confusing their language so they could no longer understand one another
",It portends the rebuilding of the Tower of Babel ,hard
11,baboo, used as a Hindi courtesy title; equivalent to English `Mr',A pumpkin monster planted by Squatt and Baboo.,hard
12,babu, used as a Hindi courtesy title; equivalent to English `Mr',He came to be known as Ambu babu or Raja babu.,hard
13,baboon, large terrestrial monkeys having doglike muzzles,The giraffe and baboon are extinct in Eritrea.,hard
14,babies," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The sweet and lovable baby was a son of the couple.,easy
15,baby," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The sweet and lovable baby was a son of the couple.,easy
16,babied," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The sweet and lovable baby was a son of the couple.,easy
17,babying," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The sweet and lovable baby was a son of the couple.,easy
18,babyhood," the early stage of growth or development
",I'm going to create an entry for the book 'Babyhood' by Paul Reiser.,hard
19,babyish," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The sweet and lovable baby was a son of the couple.,easy
20,baccarat, a card game played in casinos in which two or more punters gamble against the banker; the player wins who holds 2 or 3 cards that total closest to nine,Baccarat betting network rental.,medium
21,baccate," resembling a berry
",,hard
22,bacchant," someone who engages in drinking bouts
",The satyrs and the Bacchantes fell down senseless.,hard
23,bacchic, used of riotously drunken merrymaking,Dionysus then lured Pentheus out to spy on the bacchic rites.,hard
24,bacchus, god of wine; equivalent of Dionysus,"Away with the barbarous custom, and protect modest Bacchus from bloody frays.",hard
25,bachelor," a man who has never been married
","At there, the bachelor party is underway.",medium
26,bacillar," relating to or produced by or containing bacilli
",,hard
27,bacillus, aerobic rod-shaped spore-producing bacterium; often occurring in chainlike formations; found primarily in soil,"The bacillus multiplies in the stomach of the flea, blocking it.",hard
