1,baas, South African term for `boss',"In almost all cases, the form baa baa or baa baa is used.",hard
2,baal, any of numerous local fertility and nature deities worshipped by ancient Semitic peoples; the Hebrews considered Baal a false god,The people obliterate the temple of Baal.,hard
3,baba, a small cake leavened with yeast,Hi Baba and thanks for the note.,hard
4,babbitt, an alloy of tin with some copper and antimony; a lining for bearings that reduces friction,Babbitt is professionally successful as a realtor.,hard
5,babbled, gibberish resembling the sounds of a baby,The song is a pleasant babbling.,hard
6,babbling, gibberish resembling the sounds of a baby,The language that infants speak is called babbling.,hard
7,babble, gibberish resembling the sounds of a baby,The song is a pleasant babbling.,hard
8,babbler," an obnoxious and foolish and loquacious talker
","The Arrow marked Babbler is a medium sized babbler, in length and weighing.",hard
9,babel," a tower built by Noah's descendants (probably in Babylon) who intended it to reach up to heaven; God foiled them by confusing their language so they could no longer understand one another
",It portends the rebuilding of the Tower of Babel ,hard
10,baboo, used as a Hindi courtesy title; equivalent to English `Mr',A pumpkin monster planted by Squatt and Baboo.,hard
11,babu, used as a Hindi courtesy title; equivalent to English `Mr',He came to be known as Ambu babu or Raja babu.,hard
12,baboon, large terrestrial monkeys having doglike muzzles,The giraffe and baboon are extinct in Eritrea.,hard
13,babyhood," the early stage of growth or development
",I'm going to create an entry for the book 'Babyhood' by Paul Reiser.,hard
14,baccate," resembling a berry
",,hard
15,bacchant," someone who engages in drinking bouts
",The satyrs and the Bacchantes fell down senseless.,hard
16,bacchic, used of riotously drunken merrymaking,Dionysus then lured Pentheus out to spy on the bacchic rites.,hard
17,bacchus, god of wine; equivalent of Dionysus,"Away with the barbarous custom, and protect modest Bacchus from bloody frays.",hard
18,bacillar," relating to or produced by or containing bacilli
",,hard
19,bacillus, aerobic rod-shaped spore-producing bacterium; often occurring in chainlike formations; found primarily in soil,"The bacillus multiplies in the stomach of the flea, blocking it.",hard
20,backband, a broad band that passes over the back of a horse and supports the shafts of a vehicle,,hard
21,backbite, say mean things,"Let's quit the bickering, the backbiting and the warring.",hard
22,backdown, a retraction of a previously held position,It was humiliating to backdown like that.,hard
23,backer, invests in a theatrical production,The primary financial backer of the initiative is Peter Sperling.,hard
24,backhand, a return made with the back of the hand facing the direction of the stroke,It's very weasily and backhanded.,hard
25,backless, lacking a back,There are backless metal benches to sit on in this lobby.,hard
26,backsaw, a handsaw that is stiffened by metal reinforcement along the upper edge,Maybe backsaw and tenon saw should be merged.,hard
27,backstay, a stay that supports the back of something,Contrast with forestay and backstay.,hard
28,backwash," the flow of air that is driven backwards by an aircraft propeller
",The edit was caught in the backwash.,hard
29,badger," a native or resident of Wisconsin
",I smelt like a badger.,hard
30,badgered," a native or resident of Wisconsin
",I smelt like a badger.,hard
31,badgerer, someone who tries to embarrass you with gibes and questions and objections,I smelt like a badger.,hard
